document_id,query_player,relevant_player,rank,top_1_document_id,top_1_player,top_5_document_ids,top_5_players,query_text
rk_2134,Daniel Parejo,Daniel Parejo,1,rk_2134,Daniel Parejo,rk_2134 | rk_1977 | rk_1729 | rk_2095 | rk_1572,Daniel Parejo | Jofre | Hugo Álvarez | Javier Muñoz | Tom Rothe,identity: player (Player): Daniel Parejo | nation (Nation): ESP | position (Pos): midfielder (MF) | club (Squad): Villarreal | age (Age): 35 | birth_year (Born): 1989 || attacking_stats: goals (Gls): 3 | assists (Ast): 3 | expected_goals (xG): 2.5 | expected_assists (xAG): 1.8 | non_penalty_expected_goals (npxG): 0.8 | expected_goal_involvements (xG+xAG): 0.17 || progression_stats: progressive_carries (PrgC): 19 | progressive_passes (PrgP): 176 | progressive_receptions (PrgR): 26 || usage_stats: matches_played (MP): 36 | starts (Starts): 26 | minutes_played (Min): 2273 | full_match_equivalents (90s): 25.3 || discipline_stats: yellow_cards (CrdY): 8 | red_cards (CrdR): 0 || tags: nation_esp | position_midfielder | high_goals | elite_assists | high_expected_goals | high_expected_assists | medium_progressive_carries | elite_progressive_passes | medium_progressive_receptions | high_minutes_played | rotation_player
rk_2135,Iago Parente,Iago Parente,1,rk_2135,Iago Parente,rk_2135 | rk_221 | rk_1817 | rk_2124 | rk_1827,Iago Parente | Marc Guiu | José Carlos González | Ángel Ortíz | Raúl Chasco,identity: player (Player): Iago Parente | nation (Nation): ESP | position (Pos): defender (DF) | club (Squad): Valladolid | age (Age): 18 | birth_year (Born): 2006 || attacking_stats: goals (Gls): 0 | assists (Ast): 0 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.0 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.04 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 4 | progressive_receptions (PrgR): 1 || usage_stats: matches_played (MP): 1 | starts (Starts): 1 | minutes_played (Min): 71 | full_match_equivalents (90s): 0.8 || discipline_stats: yellow_cards (CrdY): 0 | red_cards (CrdR): 0 || tags: nation_esp | position_defender | medium_goals | medium_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | low_minutes_played | regular_starter
rk_2136,Álvaro Pascual,Álvaro Pascual,1,rk_2136,Álvaro Pascual,rk_2136 | rk_1846 | rk_1987 | rk_2022 | rk_492,Álvaro Pascual | Coba da Costa | Abdoulaye Keita | Iker Losada | Ross Stewart,identity: player (Player): Álvaro Pascual | nation (Nation): ESP | position (Pos): forward (FW) | club (Squad): Sevilla | age (Age): 22 | birth_year (Born): 2002 || attacking_stats: goals (Gls): 1 | assists (Ast): 0 | expected_goals (xG): 1.1 | expected_assists (xAG): 0.0 | non_penalty_expected_goals (npxG): 1.1 | expected_goal_involvements (xG+xAG): 0.25 || progression_stats: progressive_carries (PrgC): 4 | progressive_passes (PrgP): 3 | progressive_receptions (PrgR): 27 || usage_stats: matches_played (MP): 8 | starts (Starts): 4 | minutes_played (Min): 408 | full_match_equivalents (90s): 4.5 || discipline_stats: yellow_cards (CrdY): 1 | red_cards (CrdR): 0 || tags: nation_esp | position_forward | high_goals | medium_assists | medium_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | medium_progressive_receptions | low_minutes_played | rotation_player
rk_2137,Alfonso Pedraza,Alfonso Pedraza,1,rk_2137,Alfonso Pedraza,rk_2137 | rk_3655 | rk_5029 | rk_2109 | rk_2253,Alfonso Pedraza | Mario González | Sergi Palencia | Hugo Novoa | Álvaro Tejero,"identity: player (Player): Alfonso Pedraza | nation (Nation): ESP | position (Pos): defender, midfielder (DF,MF) | club (Squad): Villarreal | age (Age): 28 | birth_year (Born): 1996 || attacking_stats: goals (Gls): 0 | assists (Ast): 2 | expected_goals (xG): 0.5 | expected_assists (xAG): 1.4 | non_penalty_expected_goals (npxG): 0.5 | expected_goal_involvements (xG+xAG): 0.37 || progression_stats: progressive_carries (PrgC): 21 | progressive_passes (PrgP): 9 | progressive_receptions (PrgR): 43 || usage_stats: matches_played (MP): 12 | starts (Starts): 4 | minutes_played (Min): 460 | full_match_equivalents (90s): 5.1 || discipline_stats: yellow_cards (CrdY): 0 | red_cards (CrdR): 0 || tags: nation_esp | position_defender | position_midfielder | medium_goals | high_assists | medium_expected_goals | high_expected_assists | high_progressive_carries | low_progressive_passes | medium_progressive_receptions | low_minutes_played | rotation_player"
rk_2138,Pedri,Pedri,1,rk_2138,Pedri,rk_2138 | rk_1942 | rk_1823 | rk_2123 | rk_2282,Pedri | Javier Guerra | Catena | Aimar Oroz | Carlos Vicente,identity: player (Player): Pedri | nation (Nation): ESP | position (Pos): midfielder (MF) | club (Squad): Barcelona | age (Age): 21 | birth_year (Born): 2002 || attacking_stats: goals (Gls): 4 | assists (Ast): 5 | expected_goals (xG): 2.2 | expected_assists (xAG): 7.4 | non_penalty_expected_goals (npxG): 2.2 | expected_goal_involvements (xG+xAG): 0.3 || progression_stats: progressive_carries (PrgC): 92 | progressive_passes (PrgP): 360 | progressive_receptions (PrgR): 136 || usage_stats: matches_played (MP): 37 | starts (Starts): 35 | minutes_played (Min): 2879 | full_match_equivalents (90s): 32.0 || discipline_stats: yellow_cards (CrdY): 3 | red_cards (CrdR): 0 || tags: nation_esp | position_midfielder | elite_goals | elite_assists | high_expected_goals | elite_expected_assists | elite_progressive_carries | elite_progressive_passes | elite_progressive_receptions | elite_minutes_played | regular_starter
rk_2139,Adrià Pedrosa,Adrià Pedrosa,1,rk_2139,Adrià Pedrosa,rk_2139 | rk_2014 | rk_2209 | rk_3649 | rk_1967,Adrià Pedrosa | David López | Kike Salas | Victor Gomez | Iglesias,identity: player (Player): Adrià Pedrosa | nation (Nation): ESP | position (Pos): defender (DF) | club (Squad): Sevilla | age (Age): 26 | birth_year (Born): 1998 || attacking_stats: goals (Gls): 1 | assists (Ast): 1 | expected_goals (xG): 0.9 | expected_assists (xAG): 1.6 | non_penalty_expected_goals (npxG): 0.9 | expected_goal_involvements (xG+xAG): 0.1 || progression_stats: progressive_carries (PrgC): 41 | progressive_passes (PrgP): 79 | progressive_receptions (PrgR): 96 || usage_stats: matches_played (MP): 31 | starts (Starts): 27 | minutes_played (Min): 2298 | full_match_equivalents (90s): 25.5 || discipline_stats: yellow_cards (CrdY): 7 | red_cards (CrdR): 0 || tags: nation_esp | position_defender | high_goals | high_assists | medium_expected_goals | high_expected_assists | high_progressive_carries | high_progressive_passes | high_progressive_receptions | high_minutes_played | regular_starter
rk_2140,Pejiño,Pejiño,1,rk_2140,Pejiño,rk_2140 | rk_2183 | rk_2045 | rk_2286 | rk_1814,Pejiño | Arturo Rodríguez | Diego Martín | Sergio Viera | Marc Cardona,identity: player (Player): Pejiño | nation (Nation): ESP | position (Pos): forward (FW) | club (Squad): Las Palmas | age (Age): 28 | birth_year (Born): 1996 || attacking_stats: goals (Gls): 0 | assists (Ast): 0 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.0 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.17 || progression_stats: progressive_carries (PrgC): 1 | progressive_passes (PrgP): 1 | progressive_receptions (PrgR): 2 || usage_stats: matches_played (MP): 1 | starts (Starts): 0 | minutes_played (Min): 16 | full_match_equivalents (90s): 0.2 || discipline_stats: yellow_cards (CrdY): 0 | red_cards (CrdR): 0 || tags: nation_esp | position_forward | medium_goals | medium_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | low_minutes_played
rk_2141,Andy Pelmard,Andy Pelmard,1,rk_2141,Andy Pelmard,rk_2141 | rk_1028 | rk_2816 | rk_1607 | rk_2726,Andy Pelmard | Andy Pelmard | Axel Tapé | Mohamed Simakan | Zinédine Ould Khaled,identity: player (Player): Andy Pelmard | nation (Nation): FRA | position (Pos): defender (DF) | club (Squad): Las Palmas | age (Age): 24 | birth_year (Born): 2000 || attacking_stats: goals (Gls): 0 | assists (Ast): 0 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.0 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.03 || progression_stats: progressive_carries (PrgC): 1 | progressive_passes (PrgP): 13 | progressive_receptions (PrgR): 5 || usage_stats: matches_played (MP): 4 | starts (Starts): 2 | minutes_played (Min): 205 | full_match_equivalents (90s): 2.3 || discipline_stats: yellow_cards (CrdY): 1 | red_cards (CrdR): 0 || tags: nation_fra | position_defender | medium_goals | medium_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | low_minutes_played | rotation_player
rk_2142,Iñaki Peña,Iñaki Peña,1,rk_2142,Iñaki Peña,rk_2142 | rk_2285 | rk_1917 | rk_2248 | rk_1707,Iñaki Peña | Fran Vieites | Joan García | Wojciech Szczęsny | Adrián,identity: player (Player): Iñaki Peña | nation (Nation): ESP | position (Pos): goalkeeper (GK) | club (Squad): Barcelona | age (Age): 25 | birth_year (Born): 1999 || attacking_stats: goals (Gls): 0 | assists (Ast): 0 | expected_goals (xG): 0.0 | expected_assists (xAG): 0.0 | non_penalty_expected_goals (npxG): 0.0 | expected_goal_involvements (xG+xAG): 0.0 || progression_stats: progressive_carries (PrgC): 0 | progressive_passes (PrgP): 3 | progressive_receptions (PrgR): 0 || usage_stats: matches_played (MP): 16 | starts (Starts): 15 | minutes_played (Min): 1396 | full_match_equivalents (90s): 15.5 || discipline_stats: yellow_cards (CrdY): 1 | red_cards (CrdR): 0 || tags: nation_esp | position_goalkeeper | medium_goals | medium_assists | low_expected_goals | low_expected_assists | low_progressive_carries | low_progressive_passes | low_progressive_receptions | medium_minutes_played | regular_starter
rk_2143,Rubén Peña,Rubén Peña,1,rk_2143,Rubén Peña,rk_2143 | rk_1919 | rk_1920 | rk_1891 | rk_3972,Rubén Peña | Rubén García | Unai García | Kiko Femenía | Cédric Teguia,"identity: player (Player): Rubén Peña | nation (Nation): ESP | position (Pos): forward, defender (FW,DF) | club (Squad): Osasuna | age (Age): 33 | birth_year (Born): 1991 || attacking_stats: goals (Gls): 0 | assists (Ast): 0 | expected_goals (xG): 0.7 | expected_assists (xAG): 0.6 | non_penalty_expected_goals (npxG): 0.7 | expected_goal_involvements (xG+xAG): 0.15 || progression_stats: progressive_carries (PrgC): 18 | progressive_passes (PrgP): 27 | progressive_receptions (PrgR): 57 || usage_stats: matches_played (MP): 25 | starts (Starts): 7 | minutes_played (Min): 775 | full_match_equivalents (90s): 8.6 || discipline_stats: yellow_cards (CrdY): 1 | red_cards (CrdR): 0 || tags: nation_esp | position_forward | position_defender | medium_goals | medium_assists | medium_expected_goals | medium_expected_assists | medium_progressive_carries | medium_progressive_passes | high_progressive_receptions | medium_minutes_played | rotation_player"
