query_player,relevant_player,rank,top_1_player,top_5_players,query_text
Vladimír Coufal,Vladimír Coufal,1,Vladimír Coufal,Vladimír Coufal | Luca Pellegrini | Max Kilman | Alejandro Molina | Emerson Palmieri,"Vladimír Coufal is a CZE football player who plays for West Ham as a defender (DF). Age: 31 Born: 1992. Attacking output: goals 0, assists 0, expected_goals 0.3, expected_assists 0.7, non_penalty_expected_goals 0.3, expected_goal_involvements 0.08. Progression: progressive_carries 26, progressive_passes 39, progressive_receptions 33. Usage: matches_played 22, starts 11, minutes_played 1067, full_match_equivalents 11.9. Discipline: yellow_cards 5, red_cards 0."
Woyo Coulibaly,Woyo Coulibaly,1,Woyo Coulibaly,Woyo Coulibaly | Woyo Coulibaly | Hamza Choudhury | Caleb Okoli | Saúl Coco,"Woyo Coulibaly is a MLI football player who plays for Leicester City as a defender (DF). Age: 25 Born: 1999. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.04. Progression: progressive_carries 4, progressive_passes 3, progressive_receptions 2. Usage: matches_played 4, starts 1, minutes_played 109, full_match_equivalents 1.2. Discipline: yellow_cards 1, red_cards 0."
Aaron Cresswell,Aaron Cresswell,1,Aaron Cresswell,Aaron Cresswell | Aaron Wan-Bissaka | Guido Rodríguez | Julian Gressel | Álex Moreno,"Aaron Cresswell is a ENG football player who plays for West Ham as a defender (DF). Age: 34 Born: 1989. Attacking output: goals 0, assists 0, expected_goals 0.2, expected_assists 1.3, non_penalty_expected_goals 0.2, expected_goal_involvements 0.17. Progression: progressive_carries 6, progressive_passes 36, progressive_receptions 4. Usage: matches_played 18, starts 10, minutes_played 824, full_match_equivalents 9.2. Discipline: yellow_cards 3, red_cards 0."
Marc Cucurella,Marc Cucurella,1,Marc Cucurella,Marc Cucurella | Alexis Mac Allister | Dani Rodríguez | Ander Herrera | Leon Goretzka,"Marc Cucurella is a ESP football player who plays for Chelsea as a defender (DF). Age: 26 Born: 1998. Attacking output: goals 5, assists 1, expected_goals 2.8, expected_assists 2.1, non_penalty_expected_goals 2.8, expected_goal_involvements 0.15. Progression: progressive_carries 35, progressive_passes 118, progressive_receptions 117. Usage: matches_played 36, starts 33, minutes_played 2988, full_match_equivalents 33.2. Discipline: yellow_cards 10, red_cards 1."
Jorge Cuenca,Jorge Cuenca,1,Jorge Cuenca,Jorge Cuenca | Lucas Martínez Quarta | Maxi González | Henrique | Fran Vieites,"Jorge Cuenca is a ESP football player who plays for Fulham as a defender (DF). Age: 24 Born: 1999. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.01. Progression: progressive_carries 0, progressive_passes 10, progressive_receptions 0. Usage: matches_played 8, starts 4, minutes_played 351, full_match_equivalents 3.9. Discipline: yellow_cards 0, red_cards 0."
Matheus Cunha,Matheus Cunha,1,Matheus Cunha,Matheus Cunha | Vinícius | Djordje Mihailovic | M'Bala Nzola | Léo Santos,"Matheus Cunha is a BRA football player who plays for Wolves as a midfielder, forward (MF,FW). Age: 25 Born: 1999. Attacking output: goals 15, assists 6, expected_goals 8.6, expected_assists 7.7, non_penalty_expected_goals 8.6, expected_goal_involvements 0.57. Progression: progressive_carries 112, progressive_passes 144, progressive_receptions 161. Usage: matches_played 33, starts 29, minutes_played 2597, full_match_equivalents 28.9. Discipline: yellow_cards 4, red_cards 0."
Patson Daka,Patson Daka,1,Patson Daka,Patson Daka | Bilal El Khannouss | Jeremy Doku | Elye Wahi | Peter González,"Patson Daka is a ZAM football player who plays for Leicester City as a forward, midfielder (FW,MF). Age: 25 Born: 1998. Attacking output: goals 1, assists 0, expected_goals 1.3, expected_assists 0.1, non_penalty_expected_goals 1.3, expected_goal_involvements 0.16. Progression: progressive_carries 11, progressive_passes 8, progressive_receptions 36. Usage: matches_played 23, starts 6, minutes_played 736, full_match_equivalents 8.2. Discipline: yellow_cards 0, red_cards 0."
Diogo Dalot,Diogo Dalot,1,Diogo Dalot,Diogo Dalot | Vitor Costa | Enrico Del Prato | Jaka Bijol | Anton Stach,"Diogo Dalot is a POR football player who plays for Manchester Utd as a defender (DF). Age: 25 Born: 1999. Attacking output: goals 0, assists 3, expected_goals 2.0, expected_assists 2.0, non_penalty_expected_goals 2.0, expected_goal_involvements 0.13. Progression: progressive_carries 62, progressive_passes 103, progressive_receptions 168. Usage: matches_played 33, starts 31, minutes_played 2814, full_match_equivalents 31.3. Discipline: yellow_cards 5, red_cards 0."
Mikkel Damsgaard,Mikkel Damsgaard,1,Mikkel Damsgaard,Mikkel Damsgaard | Jurgen Ekkelenkamp | Matt O'Riley | Ismaël Gharbi | Elias Saad,"Mikkel Damsgaard is a DEN football player who plays for Brentford as a midfielder, forward (MF,FW). Age: 24 Born: 2000. Attacking output: goals 2, assists 10, expected_goals 2.8, expected_assists 8.4, non_penalty_expected_goals 2.8, expected_goal_involvements 0.35. Progression: progressive_carries 73, progressive_passes 234, progressive_receptions 137. Usage: matches_played 38, starts 34, minutes_played 2911, full_match_equivalents 32.3. Discipline: yellow_cards 2, red_cards 0."
Danilo,Danilo,1,Danilo,Danilo | Morato | Eric da Silva Moreira | Harry Toffolo | Ibrahim Sangaré,"Danilo is a BRA football player who plays for Nott'ham Forest as a midfielder, forward (MF,FW). Age: 23 Born: 2001. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 2, progressive_passes 11, progressive_receptions 1. Usage: matches_played 8, starts 5, minutes_played 275, full_match_equivalents 3.1. Discipline: yellow_cards 0, red_cards 0."
Jayden Danns,Jayden Danns,1,Jayden Danns,Jayden Danns | Jayden Meghoma | Luka Topalović | Michael Golding | Caleb Kporha,"Jayden Danns is a ENG football player who plays for Liverpool as a midfielder (MF). Age: 18 Born: 2006. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 0. Usage: matches_played 1, starts 0, minutes_played 11, full_match_equivalents 0.1. Discipline: yellow_cards 0, red_cards 0."
Kevin Danso,Kevin Danso,1,Kevin Danso,Kevin Danso | Kevin Danso | Patrick Dorgu | Lloyd Kelly | Marcelo Esponda,"Kevin Danso is a AUT football player who plays for Tottenham as a defender (DF). Age: 25 Born: 1998. Attacking output: goals 0, assists 0, expected_goals 0.4, expected_assists 0.1, non_penalty_expected_goals 0.4, expected_goal_involvements 0.05. Progression: progressive_carries 11, progressive_passes 19, progressive_receptions 1. Usage: matches_played 10, starts 9, minutes_played 842, full_match_equivalents 9.4. Discipline: yellow_cards 0, red_cards 0."
Ben Davies,Ben Davies,1,Ben Davies,Ben Davies | Joaquín Laso | Frederico Venâncio | Alexandros Katranis | Nicolás Sansotre,"Ben Davies is a WAL football player who plays for Tottenham as a defender (DF). Age: 31 Born: 1993. Attacking output: goals 0, assists 0, expected_goals 0.3, expected_assists 0.2, non_penalty_expected_goals 0.3, expected_goal_involvements 0.03. Progression: progressive_carries 14, progressive_passes 52, progressive_receptions 6. Usage: matches_played 17, starts 14, minutes_played 1331, full_match_equivalents 14.8. Discipline: yellow_cards 5, red_cards 0."
Leif Davis,Leif Davis,1,Leif Davis,Leif Davis | Ben Johnson | Jacob Greaves | João Goulart Silva | Álvaro Carreras,"Leif Davis is a ENG football player who plays for Ipswich Town as a defender (DF). Age: 24 Born: 2000. Attacking output: goals 1, assists 2, expected_goals 1.0, expected_assists 4.9, non_penalty_expected_goals 1.0, expected_goal_involvements 0.19. Progression: progressive_carries 52, progressive_passes 59, progressive_receptions 137. Usage: matches_played 33, starts 32, minutes_played 2743, full_match_equivalents 30.5. Discipline: yellow_cards 5, red_cards 1."
Craig Dawson,Craig Dawson,1,Craig Dawson,Craig Dawson | Kyle Walker | Max Dean | Anthony Rouault | José Luis Palomino,"Craig Dawson is a ENG football player who plays for Wolves as a defender (DF). Age: 34 Born: 1990. Attacking output: goals 0, assists 0, expected_goals 0.5, expected_assists 0.0, non_penalty_expected_goals 0.5, expected_goal_involvements 0.05. Progression: progressive_carries 6, progressive_passes 20, progressive_receptions 5. Usage: matches_played 15, starts 10, minutes_played 971, full_match_equivalents 10.8. Discipline: yellow_cards 2, red_cards 0."
Kevin De Bruyne,Kevin De Bruyne,1,Kevin De Bruyne,Kevin De Bruyne | Bernardo Silva | Luis Muriel | George Ilenikhena | Thibo Somers,"Kevin De Bruyne is a BEL football player who plays for Manchester City as a midfielder, forward (MF,FW). Age: 33 Born: 1991. Attacking output: goals 4, assists 7, expected_goals 5.1, expected_assists 8.0, non_penalty_expected_goals 5.1, expected_goal_involvements 0.69. Progression: progressive_carries 51, progressive_passes 157, progressive_receptions 150. Usage: matches_played 28, starts 19, minutes_played 1702, full_match_equivalents 18.9. Discipline: yellow_cards 2, red_cards 0."
Bobby De Cordova-Reid,Bobby De Cordova-Reid,1,Bobby De Cordova-Reid,Bobby De Cordova-Reid | Ethan Pinnock | Koka | Tomas Pochettino | Sead Kolašinac,"Bobby De Cordova-Reid is a JAM football player who plays for Leicester City as a forward (FW). Age: 31 Born: 1993. Attacking output: goals 1, assists 2, expected_goals 0.8, expected_assists 1.2, non_penalty_expected_goals 0.8, expected_goal_involvements 0.24. Progression: progressive_carries 14, progressive_passes 15, progressive_receptions 48. Usage: matches_played 23, starts 9, minutes_played 744, full_match_equivalents 8.3. Discipline: yellow_cards 2, red_cards 0."
Liam Delap,Liam Delap,1,Liam Delap,Liam Delap | Jack Clarke | Omari Hutchinson | Luke Woolfenden | Jamal Musiala,"Liam Delap is a ENG football player who plays for Ipswich Town as a forward (FW). Age: 21 Born: 2003. Attacking output: goals 12, assists 2, expected_goals 9.3, expected_assists 1.9, non_penalty_expected_goals 7.8, expected_goal_involvements 0.39. Progression: progressive_carries 61, progressive_passes 30, progressive_receptions 110. Usage: matches_played 37, starts 32, minutes_played 2593, full_match_equivalents 28.8. Discipline: yellow_cards 12, red_cards 0."
Sepp van den Berg,Sepp van den Berg,1,Sepp van den Berg,Sepp van den Berg | Rafik Belghali | Anton Stach | Robin Koch | Rajiv van La Parra,"Sepp van den Berg is a NED football player who plays for Brentford as a defender (DF). Age: 22 Born: 2001. Attacking output: goals 0, assists 0, expected_goals 2.0, expected_assists 0.8, non_penalty_expected_goals 2.0, expected_goal_involvements 0.1. Progression: progressive_carries 12, progressive_passes 79, progressive_receptions 28. Usage: matches_played 31, starts 29, minutes_played 2586, full_match_equivalents 28.7. Discipline: yellow_cards 3, red_cards 0."
Justin Devenny,Justin Devenny,1,Justin Devenny,Justin Devenny | Gabriel Bontempo | Matheus França | Christian Kouamé | Ben Chilwell,"Justin Devenny is a NIR football player who plays for Crystal Palace as a midfielder (MF). Age: 20 Born: 2003. Attacking output: goals 1, assists 1, expected_goals 0.8, expected_assists 0.6, non_penalty_expected_goals 0.8, expected_goal_involvements 0.25. Progression: progressive_carries 5, progressive_passes 21, progressive_receptions 13. Usage: matches_played 23, starts 4, minutes_played 507, full_match_equivalents 5.6. Discipline: yellow_cards 1, red_cards 0."
Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,1,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall | Florinel Coman | Allan | Ryan Kent | Donyell Malen,"Kiernan Dewsbury-Hall is a ENG football player who plays for Chelsea as a midfielder, forward (MF,FW). Age: 25 Born: 1998. Attacking output: goals 0, assists 1, expected_goals 0.2, expected_assists 1.1, non_penalty_expected_goals 0.2, expected_goal_involvements 0.44. Progression: progressive_carries 5, progressive_passes 14, progressive_receptions 11. Usage: matches_played 13, starts 2, minutes_played 264, full_match_equivalents 2.9. Discipline: yellow_cards 0, red_cards 0."
Amad Diallo,Amad Diallo,1,Amad Diallo,Amad Diallo | Oumar Diakité | Zakaria Aboukhlal | Dilane Bakwa | Antony,"Amad Diallo is a CIV football player who plays for Manchester Utd as a midfielder, forward (MF,FW). Age: 22 Born: 2002. Attacking output: goals 8, assists 6, expected_goals 4.7, expected_assists 4.9, non_penalty_expected_goals 4.7, expected_goal_involvements 0.45. Progression: progressive_carries 109, progressive_passes 60, progressive_receptions 200. Usage: matches_played 26, starts 20, minutes_played 1901, full_match_equivalents 21.1. Discipline: yellow_cards 5, red_cards 0."
Rúben Dias,Rúben Dias,1,Rúben Dias,Rúben Dias | Thilo Kehrer | Toni Borevkovic | Sam Beukema | Cristian Renato,"Rúben Dias is a POR football player who plays for Manchester City as a defender (DF). Age: 27 Born: 1997. Attacking output: goals 0, assists 0, expected_goals 1.5, expected_assists 0.3, non_penalty_expected_goals 1.5, expected_goal_involvements 0.07. Progression: progressive_carries 43, progressive_passes 160, progressive_receptions 8. Usage: matches_played 27, starts 25, minutes_played 2271, full_match_equivalents 25.2. Discipline: yellow_cards 4, red_cards 0."
Luis Díaz,Luis Díaz,1,Luis Díaz,Luis Díaz | Jhon Arias | Gianluca Ferrari | Brahim Díaz | Luis Díaz,"Luis Díaz is a COL football player who plays for Liverpool as a forward (FW). Age: 27 Born: 1997. Attacking output: goals 13, assists 5, expected_goals 12.0, expected_assists 5.0, non_penalty_expected_goals 12.0, expected_goal_involvements 0.64. Progression: progressive_carries 108, progressive_passes 110, progressive_receptions 293. Usage: matches_played 36, starts 28, minutes_played 2399, full_match_equivalents 26.7. Discipline: yellow_cards 2, red_cards 0."
Tyler Dibling,Tyler Dibling,1,Tyler Dibling,Tyler Dibling | Josimar Alcocer | Omari Forson | Simon Adingra | Ethan Mbappé,"Tyler Dibling is a ENG football player who plays for Southampton as a forward, midfielder (FW,MF). Age: 18 Born: 2006. Attacking output: goals 2, assists 0, expected_goals 2.5, expected_assists 1.5, non_penalty_expected_goals 2.5, expected_goal_involvements 0.2. Progression: progressive_carries 69, progressive_passes 64, progressive_receptions 96. Usage: matches_played 33, starts 20, minutes_played 1874, full_match_equivalents 20.8. Discipline: yellow_cards 6, red_cards 0."
Lucas Digne,Lucas Digne,1,Lucas Digne,Lucas Digne | Ruben Aguilar | Tyrone Mings | Sead Kolašinac | Boubacar Kamara,"Lucas Digne is a FRA football player who plays for Aston Villa as a defender (DF). Age: 31 Born: 1993. Attacking output: goals 0, assists 4, expected_goals 0.8, expected_assists 4.7, non_penalty_expected_goals 0.8, expected_goal_involvements 0.21. Progression: progressive_carries 23, progressive_passes 57, progressive_receptions 142. Usage: matches_played 32, starts 28, minutes_played 2351, full_match_equivalents 26.1. Discipline: yellow_cards 4, red_cards 0."
Issa Diop,Issa Diop,1,Issa Diop,Issa Diop | Néstor Breitenbruch | Javi Sánchez | Lucas Tousart | Senna Miangue,"Issa Diop is a FRA football player who plays for Fulham as a defender (DF). Age: 27 Born: 1997. Attacking output: goals 0, assists 0, expected_goals 0.5, expected_assists 0.1, non_penalty_expected_goals 0.5, expected_goal_involvements 0.04. Progression: progressive_carries 6, progressive_passes 25, progressive_receptions 3. Usage: matches_played 21, starts 15, minutes_played 1339, full_match_equivalents 14.9. Discipline: yellow_cards 2, red_cards 0."
Axel Disasi,Axel Disasi,1,Axel Disasi,Axel Disasi | Axel Disasi | Boubacar Kamara | Tobías Ostchega | Lamare Bogarde,"Axel Disasi is a FRA football player who plays for Aston Villa as a defender (DF). Age: 26 Born: 1998. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.4, non_penalty_expected_goals 0.1, expected_goal_involvements 0.09. Progression: progressive_carries 10, progressive_passes 16, progressive_receptions 5. Usage: matches_played 7, starts 5, minutes_played 490, full_match_equivalents 5.4. Discipline: yellow_cards 2, red_cards 0."
Axel Disasi,Axel Disasi,1,Axel Disasi,Axel Disasi | Axel Disasi | Adryelson | Nikolas Veratschnig | Marcelo Saracchi,"Axel Disasi is a FRA football player who plays for Chelsea as a defender (DF). Age: 26 Born: 1998. Attacking output: goals 1, assists 0, expected_goals 0.3, expected_assists 0.1, non_penalty_expected_goals 0.3, expected_goal_involvements 0.09. Progression: progressive_carries 6, progressive_passes 16, progressive_receptions 2. Usage: matches_played 6, starts 4, minutes_played 364, full_match_equivalents 4.0. Discipline: yellow_cards 1, red_cards 0."
Roman Dixon,Roman Dixon,1,Roman Dixon,Roman Dixon | Mateo Mendía | Román Gómez | Fredi Gomes | Santiago Daniele,"Roman Dixon is a ENG football player who plays for Everton as a defender (DF). Age: 19 Born: 2004. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 1. Usage: matches_played 1, starts 1, minutes_played 90, full_match_equivalents 1.0. Discipline: yellow_cards 0, red_cards 0."
Nasser Djiga,Nasser Djiga,1,Nasser Djiga,Nasser Djiga | Issa Kaboré | Rudy Matondo | Hervé Koffi | Suphanat Mueanta,"Nasser Djiga is a BFA football player who plays for Wolves as a defender (DF). Age: 21 Born: 2002. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 3, progressive_receptions 2. Usage: matches_played 5, starts 1, minutes_played 66, full_match_equivalents 0.7. Discipline: yellow_cards 0, red_cards 0."
Matt Doherty,Matt Doherty,1,Matt Doherty,Matt Doherty | Jonathan Burkardt | Stefan Lainer | Jonas Hofmann | Lucas Alario,"Matt Doherty is a IRL football player who plays for Wolves as a defender (DF). Age: 32 Born: 1992. Attacking output: goals 2, assists 1, expected_goals 1.0, expected_assists 1.5, non_penalty_expected_goals 1.0, expected_goal_involvements 0.11. Progression: progressive_carries 29, progressive_passes 79, progressive_receptions 41. Usage: matches_played 30, starts 25, minutes_played 2109, full_match_equivalents 23.4. Discipline: yellow_cards 6, red_cards 0."
Jeremy Doku,Jeremy Doku,1,Jeremy Doku,Jeremy Doku | Yorbe Vertessen | Nico O’Reilly | Joshua Zirkzee | Jeremy Monga,"Jeremy Doku is a BEL football player who plays for Manchester City as a forward, midfielder (FW,MF). Age: 22 Born: 2002. Attacking output: goals 3, assists 6, expected_goals 1.3, expected_assists 4.8, non_penalty_expected_goals 1.3, expected_goal_involvements 0.36. Progression: progressive_carries 213, progressive_passes 69, progressive_receptions 286. Usage: matches_played 29, starts 16, minutes_played 1516, full_match_equivalents 16.8. Discipline: yellow_cards 1, red_cards 0."
Nicolás Domínguez,Nicolás Domínguez,1,Nicolás Domínguez,Nicolás Domínguez | Álex Moreno | Ridle Baku | Harry Toffolo | James Ward-Prowse,"Nicolás Domínguez is a ARG football player who plays for Nott'ham Forest as a midfielder, forward (MF,FW). Age: 26 Born: 1998. Attacking output: goals 0, assists 1, expected_goals 1.5, expected_assists 1.3, non_penalty_expected_goals 1.5, expected_goal_involvements 0.13. Progression: progressive_carries 16, progressive_passes 83, progressive_receptions 33. Usage: matches_played 34, starts 23, minutes_played 1963, full_match_equivalents 21.8. Discipline: yellow_cards 9, red_cards 0."
Patrick Dorgu,Patrick Dorgu,1,Patrick Dorgu,Patrick Dorgu | Patrick Dorgu | Kevin Danso | Lewis Hall | Chidozie Obi-Martin,"Patrick Dorgu is a DEN football player who plays for Manchester Utd as a defender (DF). Age: 19 Born: 2004. Attacking output: goals 0, assists 0, expected_goals 0.4, expected_assists 0.7, non_penalty_expected_goals 0.4, expected_goal_involvements 0.12. Progression: progressive_carries 41, progressive_passes 34, progressive_receptions 83. Usage: matches_played 12, starts 10, minutes_played 842, full_match_equivalents 9.4. Discipline: yellow_cards 3, red_cards 1."
Alfie Dorrington,Alfie Dorrington,1,Alfie Dorrington,Alfie Dorrington | Will Lankshear | Alfie Pond | Archie Gray | Tyler Fredricson,"Alfie Dorrington is a ENG football player who plays for Tottenham as a defender (DF). Age: 19 Born: 2005. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 0. Usage: matches_played 1, starts 0, minutes_played 14, full_match_equivalents 0.2. Discipline: yellow_cards 0, red_cards 0."
Abdoulaye Doucouré,Abdoulaye Doucouré,1,Abdoulaye Doucouré,Abdoulaye Doucouré | Ronald Donkor | Mahdi Camara | Marious Vrousai | Raúl Moro,"Abdoulaye Doucouré is a MLI football player who plays for Everton as a midfielder (MF). Age: 31 Born: 1993. Attacking output: goals 3, assists 2, expected_goals 4.1, expected_assists 2.4, non_penalty_expected_goals 4.1, expected_goal_involvements 0.23. Progression: progressive_carries 42, progressive_passes 82, progressive_receptions 96. Usage: matches_played 33, starts 31, minutes_played 2564, full_match_equivalents 28.5. Discipline: yellow_cards 5, red_cards 1."
Cheick Doucouré,Cheick Doucouré,1,Cheick Doucouré,Cheick Doucouré | Odsonne Édouard | Romain Esse | Adam Wharton | Mohamed Kaba,"Cheick Doucouré is a MLI football player who plays for Crystal Palace as a midfielder (MF). Age: 24 Born: 2000. Attacking output: goals 0, assists 0, expected_goals 0.4, expected_assists 0.0, non_penalty_expected_goals 0.4, expected_goal_involvements 0.08. Progression: progressive_carries 2, progressive_passes 19, progressive_receptions 7. Usage: matches_played 13, starts 4, minutes_played 452, full_match_equivalents 5.0. Discipline: yellow_cards 1, red_cards 0."
Flynn Downes,Flynn Downes,1,Flynn Downes,Flynn Downes | Godfried Frimpong | Jaume Grau | William Smallbone | Alessandro Buongiorno,"Flynn Downes is a ENG football player who plays for Southampton as a midfielder (MF). Age: 25 Born: 1999. Attacking output: goals 1, assists 0, expected_goals 0.6, expected_assists 1.1, non_penalty_expected_goals 0.6, expected_goal_involvements 0.07. Progression: progressive_carries 29, progressive_passes 66, progressive_receptions 29. Usage: matches_played 27, starts 25, minutes_played 2151, full_match_equivalents 23.9. Discipline: yellow_cards 12, red_cards 0."
Tommy Doyle,Tommy Doyle,1,Tommy Doyle,Tommy Doyle | Sean Longstaff | Brayan Ceballos | Luis Vázquez | Ibrahim Salah,"Tommy Doyle is a ENG football player who plays for Wolves as a midfielder (MF). Age: 22 Born: 2001. Attacking output: goals 0, assists 1, expected_goals 0.6, expected_assists 0.5, non_penalty_expected_goals 0.6, expected_goal_involvements 0.2. Progression: progressive_carries 6, progressive_passes 40, progressive_receptions 4. Usage: matches_played 24, starts 3, minutes_played 488, full_match_equivalents 5.4. Discipline: yellow_cards 1, red_cards 0."
Radu Drăgușin,Radu Drăgușin,1,Radu Drăgușin,Radu Drăgușin | Botond Balogh | Assane Diao | Willy Kumado | Mouhamed Guèye,"Radu Drăgușin is a ROU football player who plays for Tottenham as a defender (DF). Age: 22 Born: 2002. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.4, non_penalty_expected_goals 0.1, expected_goal_involvements 0.04. Progression: progressive_carries 7, progressive_passes 37, progressive_receptions 2. Usage: matches_played 16, starts 14, minutes_played 1252, full_match_equivalents 13.9. Discipline: yellow_cards 1, red_cards 0."
Martin Dúbravka,Martin Dúbravka,1,Martin Dúbravka,Martin Dúbravka | Koen Van Langendonck | Hugo Souza | Caoimhín Kelleher | Nicholas Hansen,"Martin Dúbravka is a SVK football player who plays for Newcastle Utd as a goalkeeper (GK). Age: 35 Born: 1989. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 0. Usage: matches_played 10, starts 10, minutes_played 900, full_match_equivalents 10.0. Discipline: yellow_cards 0, red_cards 0."
Lewis Dunk,Lewis Dunk,1,Lewis Dunk,Lewis Dunk | Sandro Cruz | Mats Wieffer | Lucas Digne | Sead Kolašinac,"Lewis Dunk is a ENG football player who plays for Brighton as a defender (DF). Age: 32 Born: 1991. Attacking output: goals 0, assists 0, expected_goals 0.8, expected_assists 0.5, non_penalty_expected_goals 0.8, expected_goal_involvements 0.06. Progression: progressive_carries 20, progressive_passes 142, progressive_receptions 3. Usage: matches_played 25, starts 23, minutes_played 2083, full_match_equivalents 23.1. Discipline: yellow_cards 5, red_cards 0."
Jáder Durán,Jáder Durán,1,Jáder Durán,Jáder Durán | Marcus Rashford | Ramiro Ruiz | Soumaïla Coulibaly | Olivier Dumont,"Jáder Durán is a COL football player who plays for Aston Villa as a forward (FW). Age: 20 Born: 2003. Attacking output: goals 7, assists 0, expected_goals 4.9, expected_assists 0.2, non_penalty_expected_goals 4.9, expected_goal_involvements 0.71. Progression: progressive_carries 7, progressive_passes 13, progressive_receptions 44. Usage: matches_played 20, starts 4, minutes_played 638, full_match_equivalents 7.1. Discipline: yellow_cards 3, red_cards 1."
Claudio Echeverri,Claudio Echeverri,1,Claudio Echeverri,Claudio Echeverri | Vitor Reis | Jahmai Simpson-Pusey | Abdukodir Khusanov | Oscar Bobb,"Claudio Echeverri is a ARG football player who plays for Manchester City as a forward (FW). Age: 18 Born: 2006. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 1, progressive_receptions 1. Usage: matches_played 1, starts 0, minutes_played 6, full_match_equivalents 0.1. Discipline: yellow_cards 0, red_cards 0."
Ederson,Ederson,1,Ederson,Ederson | Etienne Youte Kinkoue | Cezary Miszta | Altay Bayındır | Danny Ward,"Ederson is a BRA football player who plays for Manchester City as a goalkeeper (GK). Age: 30 Born: 1993. Attacking output: goals 0, assists 4, expected_goals 0.0, expected_assists 1.5, non_penalty_expected_goals 0.0, expected_goal_involvements 0.06. Progression: progressive_carries 0, progressive_passes 2, progressive_receptions 0. Usage: matches_played 26, starts 26, minutes_played 2320, full_match_equivalents 25.8. Discipline: yellow_cards 4, red_cards 0."
George Edmundson,George Edmundson,1,George Edmundson,George Edmundson | Ben Godfrey | Luke Woolfenden | Marcus Harness | Alex Palmer,"George Edmundson is a ENG football player who plays for Ipswich Town as a defender (DF). Age: 26 Born: 1997. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 0. Usage: matches_played 1, starts 0, minutes_played 2, full_match_equivalents 0.0. Discipline: yellow_cards 0, red_cards 0."
Odsonne Édouard,Odsonne Édouard,1,Odsonne Édouard,Odsonne Édouard | Odsonne Édouard | Cheick Doucouré | Romain Esse | Adam Wharton,"Odsonne Édouard is a FRA football player who plays for Crystal Palace as a midfielder, forward (MF,FW). Age: 26 Born: 1998. Attacking output: goals 0, assists 0, expected_goals 0.4, expected_assists 0.0, non_penalty_expected_goals 0.4, expected_goal_involvements 0.34. Progression: progressive_carries 3, progressive_passes 4, progressive_receptions 7. Usage: matches_played 2, starts 1, minutes_played 115, full_match_equivalents 1.3. Discipline: yellow_cards 0, red_cards 0."
Odsonne Édouard,Odsonne Édouard,1,Odsonne Édouard,Odsonne Édouard | Odsonne Édouard | Jake Evans | Lamine Fomba | Stephy Mavididi,"Odsonne Édouard is a FRA football player who plays for Leicester City as a forward (FW). Age: 26 Born: 1998. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.13. Progression: progressive_carries 0, progressive_passes 1, progressive_receptions 2. Usage: matches_played 4, starts 0, minutes_played 29, full_match_equivalents 0.3. Discipline: yellow_cards 0, red_cards 0."
