query_player,relevant_player,rank,top_1_player,top_5_players,query_text
Manuel Akanji,Manuel Akanji,1,Manuel Akanji,Manuel Akanji | Ahmed Touba | Marc-Oliver Kempf | Christopher McVey | Ryoya Ogawa,"Manuel Akanji is a SUI football player who plays for Manchester City as a defender (DF). Age: 29 Born: 1995. Attacking output: goals 0, assists 0, expected_goals 1.6, expected_assists 0.4, non_penalty_expected_goals 1.6, expected_goal_involvements 0.09. Progression: progressive_carries 46, progressive_passes 158, progressive_receptions 7. Usage: matches_played 26, starts 23, minutes_played 2014, full_match_equivalents 22.4. Discipline: yellow_cards 3, red_cards 0."
Nathan Aké,Nathan Aké,1,Nathan Aké,Nathan Aké | Facundo Garcés | Rafael Santos | Nathan Wood-Gordon | Facundo Mallo,"Nathan Aké is a NED football player who plays for Manchester City as a defender (DF). Age: 29 Born: 1995. Attacking output: goals 0, assists 0, expected_goals 0.2, expected_assists 0.0, non_penalty_expected_goals 0.2, expected_goal_involvements 0.03. Progression: progressive_carries 12, progressive_passes 50, progressive_receptions 2. Usage: matches_played 10, starts 8, minutes_played 678, full_match_equivalents 7.5. Discipline: yellow_cards 0, red_cards 0."
Carlos Alcaraz,Carlos Alcaraz,1,Carlos Alcaraz,Carlos Alcaraz | Carlos Alcaraz | Carlos Eduardo | Facundo Farías | Carlos Villalba,"Carlos Alcaraz is a ARG football player who plays for Southampton as a midfielder (MF). Age: 21 Born: 2002. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.1, non_penalty_expected_goals 0.1, expected_goal_involvements 1.48. Progression: progressive_carries 4, progressive_passes 6, progressive_receptions 1. Usage: matches_played 1, starts 0, minutes_played 10, full_match_equivalents 0.1. Discipline: yellow_cards 0, red_cards 0."
Carlos Alcaraz,Carlos Alcaraz,1,Carlos Alcaraz,Carlos Alcaraz | Carlos Alcaraz | Marcus Rashford | Ardon Jashari | Jacob Murrell,"Carlos Alcaraz is a ARG football player who plays for Everton as a forward, midfielder (FW,MF). Age: 21 Born: 2002. Attacking output: goals 2, assists 3, expected_goals 1.7, expected_assists 1.6, non_penalty_expected_goals 1.7, expected_goal_involvements 0.4. Progression: progressive_carries 19, progressive_passes 42, progressive_receptions 21. Usage: matches_played 15, starts 7, minutes_played 764, full_match_equivalents 8.5. Discipline: yellow_cards 4, red_cards 0."
Trent Alexander-Arnold,Trent Alexander-Arnold,1,Trent Alexander-Arnold,Trent Alexander-Arnold | Álex Bermejo | Monsef Bakrar | Emmanuel Sabbi | Daniel Vivian,"Trent Alexander-Arnold is a ENG football player who plays for Liverpool as a defender (DF). Age: 25 Born: 1998. Attacking output: goals 3, assists 6, expected_goals 1.9, expected_assists 7.3, non_penalty_expected_goals 1.9, expected_goal_involvements 0.35. Progression: progressive_carries 51, progressive_passes 232, progressive_receptions 94. Usage: matches_played 33, starts 28, minutes_played 2365, full_match_equivalents 26.3. Discipline: yellow_cards 5, red_cards 0."
Alisson,Alisson,1,Alisson,Alisson | Colin Coosemans | Frederik Rønnow | Nick Pope | Emiliano Martínez,"Alisson is a BRA football player who plays for Liverpool as a goalkeeper (GK). Age: 31 Born: 1992. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.6, non_penalty_expected_goals 0.0, expected_goal_involvements 0.02. Progression: progressive_carries 0, progressive_passes 1, progressive_receptions 0. Usage: matches_played 28, starts 28, minutes_played 2508, full_match_equivalents 27.9. Discipline: yellow_cards 0, red_cards 0."
Miguel Almirón,Miguel Almirón,1,Miguel Almirón,Miguel Almirón | Miguel Almirón | Ramón Sosa | Luis Miguel Rodríguez | Sven Botman,"Miguel Almirón is a PAR football player who plays for Newcastle Utd as a forward (FW). Age: 30 Born: 1994. Attacking output: goals 0, assists 0, expected_goals 0.5, expected_assists 0.3, non_penalty_expected_goals 0.5, expected_goal_involvements 0.45. Progression: progressive_carries 3, progressive_passes 6, progressive_receptions 18. Usage: matches_played 9, starts 1, minutes_played 157, full_match_equivalents 1.7. Discipline: yellow_cards 0, red_cards 0."
Olabade Aluko,Olabade Aluko,1,Olabade Aluko,Olabade Aluko | Michael Golding | Will Alves | Jake Evans | Vitor Reis,"Olabade Aluko is a ENG football player who plays for Leicester City as a defender (DF). Age: 18 Born: 2006. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 0. Usage: matches_played 1, starts 0, minutes_played 2, full_match_equivalents 0.0. Discipline: yellow_cards 0, red_cards 0."
Edson Álvarez,Edson Álvarez,1,Edson Álvarez,Edson Álvarez | Jean-Clair Todibo | Lucas Paquetá | Luis Guilherme | Ibrahim Sangaré,"Edson Álvarez is a MEX football player who plays for West Ham as a midfielder (MF). Age: 26 Born: 1997. Attacking output: goals 0, assists 1, expected_goals 0.4, expected_assists 0.8, non_penalty_expected_goals 0.4, expected_goal_involvements 0.06. Progression: progressive_carries 24, progressive_passes 85, progressive_receptions 18. Usage: matches_played 28, starts 20, minutes_played 1772, full_match_equivalents 19.7. Discipline: yellow_cards 9, red_cards 1."
Will Alves,Will Alves,1,Will Alves,Will Alves | Will Lankshear | Jake Evans | Michael Golding | Olabade Aluko,"Will Alves is a ENG football player who plays for Leicester City as a forward (FW). Age: 19 Born: 2005. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 1. Usage: matches_played 1, starts 0, minutes_played 1, full_match_equivalents 0.0. Discipline: yellow_cards 0, red_cards 0."
